GEO_ID,Below_9th_grade,9_12th_grade,High_School_Grad,Some_College,Associate's_degree,Bachelor's_degree,Graduate_degree,Population (16+),Employed,Median Household Income,Per capita Income,Unemployment Rate,Professional (Occupation),Service (Occupation),Sales (Occupation),Construction (Occupation),Production (Occupation),Salary (Class),Gov't (Class),Self-employed (Class),Fam-unpaid (Class),Poverty,Child-poverty,Median Home value,Median Mortgage,Median Rent,Total Population,White,Black,American Indian,Asian,Pacific Islander,Hispanic/Latino,County,State
0500000US42083,29217.0,2.4,5.8,46.8,15.8,10.2,12.2,33935,17648,49240.0,26635,6.5,31.0,20.3,17.1,9.9,21.8,82.7,12.6,4.7,0.1,16.2,25.6,82300.0,923.0,691.0,41021,94.2,2.4,0.1,0.4,0.0,2.2,McKean County,Pennsylvania
0500000US42085,78388.0,3.0,7.2,41.8,15.5,9.8,14.5,92293,47844,50529.0,27875,5.8,31.7,21.4,21.1,8.7,17.1,82.9,11.3,5.6,0.2,14.4,24.9,123600.0,1100.0,682.0,110519,90.7,6.1,0.1,0.8,0.0,1.5,Mercer County,Pennsylvania
0500000US42087,32448.0,4.7,10.5,49.9,14.2,7.4,8.5,37082,21834,52641.0,26432,3.5,27.3,20.2,17.5,12.0,23.1,80.6,11.4,7.8,0.2,13.9,21.8,115400.0,1121.0,692.0,46179,96.3,0.6,0.3,0.4,0.0,1.6,Mifflin County,Pennsylvania
0500000US42089,117839.0,3.2,7.3,34.7,20.5,8.6,15.7,140243,80189,68734.0,31954,6.2,32.9,18.9,23.1,9.3,15.8,81.6,13.0,5.2,0.2,10.7,15.1,173800.0,1664.0,1154.0,168824,74.3,14.2,0.3,2.6,0.0,16.6,Monroe County,Pennsylvania
0500000US42091,582637.0,2.1,3.6,23.3,14.1,7.3,28.2,669506,434670,93518.0,49905,4.5,51.8,12.7,21.1,5.9,8.5,87.0,8.0,4.9,0.2,5.8,6.9,326200.0,2122.0,1323.0,827180,78.1,9.3,0.1,7.7,0.0,5.3,Montgomery County,Pennsylvania
0500000US42093,13250.0,2.8,6.1,39.4,11.8,6.9,16.3,14918,8655,59915.0,35407,1.7,41.7,18.2,17.3,8.1,14.7,83.2,11.1,5.5,0.2,10.2,15.5,186100.0,1330.0,744.0,18178,93.0,2.0,0.1,3.6,0.0,2.7,Montour County,Pennsylvania
0500000US42095,213631.0,2.7,6.0,34.2,16.2,9.1,19.7,251254,151082,73088.0,37339,4.6,38.0,17.0,22.0,8.0,15.0,85.7,9.7,4.5,0.1,8.6,13.3,223800.0,1709.0,1106.0,304233,83.4,5.9,0.2,2.9,0.0,13.7,Northampton County,Pennsylvania
0500000US42097,66725.0,2.8,8.0,49.4,13.8,8.1,12.4,75445,41462,49273.0,27365,4.2,29.2,19.1,19.9,9.5,22.3,81.5,13.1,5.3,0.1,13.1,19.0,119800.0,1110.0,680.0,91234,93.7,2.5,0.1,0.4,0.0,3.7,Northumberland County,Pennsylvania
0500000US42099,32972.0,3.4,8.5,45.2,15.0,9.4,12.8,37412,22958,70660.0,33473,3.4,30.9,13.7,20.4,13.8,21.2,77.8,15.0,7.0,0.2,8.7,11.7,179400.0,1405.0,758.0,46133,96.4,0.9,0.2,0.3,0.0,2.1,Perry County,Pennsylvania
0500000US42101,1082283.0,5.3,9.0,31.8,16.7,6.0,17.9,1272154,713851,49127.0,29644,8.8,40.8,22.3,19.4,5.5,11.9,84.0,11.7,4.1,0.1,23.1,32.2,171600.0,1343.0,1084.0,1581531,39.3,41.4,0.3,7.4,0.0,15.1,Philadelphia County,Pennsylvania
0500000US42103,41618.0,1.5,6.1,33.8,21.7,9.9,15.9,47252,24968,67495.0,35746,7.8,32.7,20.1,23.2,11.1,12.9,78.4,15.5,6.1,0.1,9.3,15.1,186600.0,1548.0,1204.0,55660,86.2,6.2,0.1,1.3,0.1,11.2,Pike County,Pennsylvania
0500000US42105,12128.0,2.7,8.4,46.1,18.0,9.5,9.8,13705,6914,47696.0,26439,6.8,31.6,16.7,18.9,13.3,19.5,76.1,13.5,10.2,0.3,11.7,17.1,110400.0,1074.0,670.0,16685,97.1,0.3,0.2,0.4,0.0,1.4,Potter County,Pennsylvania
0500000US42107,103929.0,2.8,7.8,45.9,15.8,10.8,11.6,117276,63687,53703.0,27749,5.2,29.1,16.8,18.1,11.9,24.1,82.5,12.5,4.9,0.1,13.1,19.2,106100.0,1142.0,710.0,141935,93.0,3.0,0.2,0.4,0.0,4.8,Schuylkill County,Pennsylvania
0500000US42109,27096.0,5.4,7.9,44.6,12.4,8.6,13.2,33085,19806,60227.0,28151,2.5,31.2,15.8,20.3,11.3,21.4,82.1,10.9,6.8,0.2,9.9,16.8,172900.0,1232.0,750.0,40452,96.2,1.0,0.1,0.7,0.0,2.2,Snyder County,Pennsylvania
0500000US42111,55332.0,4.1,7.1,48.7,13.9,9.4,10.9,61928,32820,51255.0,27323,4.8,31.7,18.8,18.7,12.4,18.4,80.1,12.5,6.9,0.5,10.7,16.2,113300.0,1079.0,608.0,73844,94.8,2.6,0.1,0.4,0.0,1.5,Somerset County,Pennsylvania
0500000US42113,4961.0,2.9,7.2,46.5,14.4,11.1,11.4,5487,2767,49830.0,31494,5.0,28.8,20.9,13.2,20.7,16.4,76.8,14.6,8.5,0.2,11.5,15.1,160100.0,1143.0,649.0,6038,94.4,2.8,0.1,0.1,0.0,3.5,Sullivan County,Pennsylvania
0500000US42115,30201.0,1.8,7.8,45.9,16.6,8.8,12.5,33893,17786,55788.0,32608,6.1,30.4,16.4,20.4,13.6,19.1,81.0,11.3,7.5,0.2,11.7,17.4,173100.0,1278.0,761.0,40604,97.2,0.6,0.0,0.4,0.0,1.7,Susquehanna County,Pennsylvania
0500000US42117,29200.0,1.8,6.8,44.7,17.8,9.3,12.1,33794,18004,51838.0,26932,5.2,30.4,18.7,19.0,12.2,19.7,78.6,12.3,8.7,0.4,12.3,16.0,151900.0,1206.0,728.0,40759,96.9,0.8,0.1,0.6,0.0,1.3,Tioga County,Pennsylvania
0500000US42119,30536.0,3.8,8.4,41.0,13.0,8.4,12.9,37947,17751,56824.0,28884,2.9,40.6,16.1,19.0,9.1,15.3,81.6,11.3,6.8,0.3,11.4,11.7,188400.0,1389.0,769.0,44831,88.0,6.6,0.3,1.8,0.0,6.0,Union County,Pennsylvania
0500000US42121,37890.0,3.1,5.9,48.0,14.6,9.1,13.1,42745,22320,51405.0,28002,6.6,29.7,18.9,21.3,9.0,21.1,79.2,15.4,5.3,0.1,13.5,19.6,96800.0,1028.0,652.0,51355,96.1,1.1,0.0,0.4,0.0,1.1,Venango County,Pennsylvania
0500000US42123,29084.0,1.9,4.9,45.2,17.4,11.2,12.8,32852,18009,52034.0,29272,4.4,29.9,18.8,18.7,10.4,22.2,80.4,12.9,6.4,0.4,12.6,21.3,102000.0,993.0,615.0,39466,96.5,0.6,0.1,0.4,0.0,1.1,Warren County,Pennsylvania
0500000US42125,149351.0,1.9,4.6,37.4,15.8,9.7,20.0,171495,100095,65478.0,36554,5.4,37.1,17.2,22.1,10.5,13.1,85.5,9.2,5.2,0.1,8.9,11.1,170800.0,1371.0,781.0,207081,93.0,3.3,0.0,1.0,0.0,1.8,Washington County,Pennsylvania
0500000US42127,39288.0,2.7,7.3,42.4,18.0,9.0,12.5,43821,21093,55572.0,28275,5.1,30.9,20.5,19.0,12.7,16.9,77.9,14.0,7.8,0.3,10.6,13.7,178700.0,1404.0,791.0,51268,93.0,3.4,0.2,0.7,0.0,4.6,Wayne County,Pennsylvania
0500000US42129,260206.0,1.6,3.6,35.9,17.0,11.7,19.3,294500,171082,61398.0,34992,4.7,37.9,16.2,21.3,9.1,15.5,85.8,9.0,5.0,0.1,9.5,12.6,157200.0,1263.0,732.0,350722,94.3,2.4,0.1,1.0,0.0,1.2,Westmoreland County,Pennsylvania
0500000US42131,19512.0,1.3,5.9,46.2,17.0,9.1,13.4,22487,12567,60075.0,31899,4.9,28.5,18.9,19.7,13.7,19.3,84.1,10.7,5.2,0.0,10.5,14.3,172300.0,1366.0,789.0,27078,93.1,1.8,0.2,0.4,0.0,2.0,Wyoming County,Pennsylvania
0500000US42133,312659.0,2.8,6.8,39.2,16.5,9.5,16.3,360718,226081,68940.0,33587,4.6,34.8,15.8,21.5,9.2,18.6,83.9,10.9,5.0,0.2,8.7,11.9,183300.0,1548.0,972.0,447628,87.2,5.8,0.1,1.5,0.1,7.8,York County,Pennsylvania
0500000US44001,34365.0,3.2,6.1,20.1,15.0,6.4,26.0,40811,24636,85413.0,48321,3.4,49.8,18.4,18.7,5.7,7.4,81.3,12.6,6.0,0.0,7.1,4.5,364500.0,2291.0,1076.0,48645,93.3,1.2,0.1,2.0,0.0,3.1,Bristol County,Rhode Island
0500000US44003,121748.0,2.4,5.2,28.8,20.1,10.8,20.1,137119,87720,75857.0,40969,4.3,42.7,16.4,22.4,8.3,10.2,81.9,13.8,4.2,0.1,8.1,9.7,247700.0,1841.0,1110.0,164122,90.5,1.8,0.3,2.9,0.0,5.4,Kent County,Rhode Island
0500000US44005,61162.0,2.2,3.1,20.2,17.6,7.2,29.9,70554,41154,84282.0,50514,5.8,46.1,17.5,22.0,7.8,6.6,76.5,15.5,7.5,0.5,7.7,11.2,399500.0,2248.0,1348.0,82731,88.5,4.4,0.5,1.8,0.2,5.9,Newport County,Rhode Island
0500000US44007,437102.0,6.5,7.2,30.6,17.6,7.7,18.7,521400,316776,62323.0,32739,5.9,37.6,19.3,21.6,7.1,14.4,84.0,11.5,4.4,0.1,14.0,19.4,248500.0,1806.0,989.0,636161,71.0,9.5,0.4,4.2,0.1,23.4,Providence County,Rhode Island
0500000US44009,86993.0,1.4,3.9,22.1,18.3,8.3,25.9,108237,64854,86970.0,44325,5.9,44.8,17.3,22.0,8.6,7.3,76.4,17.0,6.3,0.3,8.2,8.6,359300.0,2010.0,1115.0,126139,92.8,1.2,0.6,2.1,0.1,3.3,Washington County,Rhode Island
0500000US45001,17236.0,5.2,11.9,35.4,16.1,13.0,13.0,20156,10117,43090.0,25598,5.0,30.8,16.8,20.0,10.1,22.2,80.4,14.3,4.9,0.4,17.7,24.1,100700.0,963.0,691.0,24582,69.6,27.2,0.4,0.6,0.0,1.6,Abbeville County,South Carolina
0500000US45003,119689.0,3.7,7.2,31.9,20.9,8.6,17.5,137019,72750,53385.0,29470,7.3,35.1,17.8,21.4,10.3,15.5,77.9,16.8,4.9,0.4,13.8,20.1,153700.0,1142.0,840.0,169947,70.0,24.7,0.2,0.9,0.0,5.8,Aiken County,South Carolina
0500000US45005,6161.0,9.2,13.7,40.0,21.0,5.7,6.2,7324,2707,26074.0,16985,12.9,28.6,28.8,13.9,10.3,18.4,67.6,26.0,6.4,0.0,28.0,38.2,47100.0,872.0,640.0,8789,22.9,73.3,0.5,0.1,0.1,3.4,Allendale County,South Carolina
0500000US45007,137952.0,4.1,10.3,30.2,19.7,11.6,15.2,159919,90974,53598.0,28931,5.5,35.7,15.5,19.5,9.2,20.0,81.9,12.7,5.2,0.1,13.6,19.7,153600.0,1123.0,791.0,200183,79.3,15.8,0.2,0.9,0.0,3.8,Anderson County,South Carolina
0500000US45009,9440.0,6.7,13.9,32.0,16.5,12.9,10.0,11713,5355,42830.0,19814,7.0,25.8,15.1,21.6,13.5,24.0,77.8,14.9,7.2,0.1,21.0,31.2,78900.0,1140.0,664.0,14236,36.7,59.1,0.4,0.3,0.0,2.1,Bamberg County,South Carolina
0500000US45011,14129.0,7.7,10.0,34.9,20.4,12.4,8.2,16789,8499,37572.0,22339,6.6,27.0,21.4,20.5,10.9,20.2,78.9,16.5,4.5,0.0,27.8,47.9,87600.0,1126.0,646.0,21170,51.7,45.2,0.2,0.2,0.0,2.5,Barnwell County,South Carolina
