GEO_ID,NAME,Below_9th_grade,9_12th_grade,High_School_Grad,Some_College,Associate's_degree,Bachelor's_degree,Graduate_degree,Population (16+),Employed,Median Household Income,Per capita Income,Unemployment Rate,Professional (Occupation),Service (Occupation),Sales (Occupation),Construction (Occupation),Production (Occupation),Salary (Class),Gov't (Class),Self-employed (Class),Fam-unpaid (Class),Poverty,Child-poverty,Median Home value,Median Mortgage,Median Rent,Total Population,White,Black,American Indian,Asian,Pacific Islander,Hispanic/Latino
0500000US19045,"Clinton County, Iowa",2.8,6.2,37.2,23.4,11.4,13.1,6.0,37636.0,22653.0,50156.0,27942.0,4.4,28.4,15.9,21.7,10.9,23.2,84.1,9.1,6.5,0.3,12.3,15.8,114900.0,1106.0,664.0,47218,93.8,2.7,0.4,0.7,0.0,3.1
0500000US19047,"Crawford County, Iowa",10.7,11.6,36.0,20.5,8.5,9.4,3.4,13354.0,7993.0,53609.0,28700.0,7.0,23.6,13.9,13.5,12.0,37.0,80.8,10.3,8.6,0.3,15.8,19.2,90700.0,1008.0,625.0,17132,85.8,2.6,0.5,2.0,0.2,27.8
0500000US19049,"Dallas County, Iowa",2.4,2.3,18.0,17.7,10.3,34.4,14.9,62881.0,46027.0,84790.0,43583.0,2.4,51.9,11.9,21.0,6.1,9.0,83.8,12.2,3.9,0.1,5.9,6.4,231000.0,1613.0,1012.0,84002,91.1,1.6,0.1,4.3,0.1,6.1
0500000US19051,"Davis County, Iowa",14.8,2.0,33.8,18.0,10.9,14.9,5.6,6553.0,4158.0,58464.0,26503.0,2.8,33.3,14.8,19.7,14.5,17.6,71.1,14.8,13.1,1.0,12.3,16.4,114000.0,1156.0,639.0,8885,98.0,0.1,0.0,0.7,0.0,1.4
0500000US19053,"Decatur County, Iowa",3.8,7.5,37.6,19.9,7.7,14.1,9.4,6480.0,3720.0,42614.0,22037.0,4.4,33.5,20.7,20.2,13.0,12.6,75.6,15.4,8.8,0.2,19.6,23.6,76800.0,1052.0,543.0,8044,94.9,1.6,0.4,0.7,0.5,2.8
0500000US19055,"Delaware County, Iowa",3.4,5.3,43.1,18.8,12.8,11.9,4.7,13640.0,9334.0,61179.0,31300.0,2.3,33.1,13.5,19.2,12.1,22.1,77.6,11.2,10.0,1.3,8.5,11.9,134200.0,1113.0,600.0,17258,97.7,0.3,0.3,0.4,0.0,1.5
0500000US19057,"Des Moines County, Iowa",2.2,6.3,32.8,25.5,12.8,14.2,6.3,31589.0,19087.0,49977.0,28234.0,5.3,28.4,18.0,21.4,9.0,23.1,83.5,11.1,5.4,0.0,15.4,23.8,103600.0,1086.0,770.0,39600,90.3,5.9,0.1,0.8,0.0,3.0
0500000US19059,"Dickinson County, Iowa",1.1,3.1,28.1,23.1,13.3,22.7,8.6,14263.0,9189.0,58099.0,38031.0,2.8,34.2,15.7,21.4,12.0,16.6,77.5,11.5,10.8,0.3,8.0,9.7,179300.0,1216.0,771.0,17056,97.4,0.7,0.3,0.8,0.0,2.0
0500000US19061,"Dubuque County, Iowa",2.3,5.3,33.0,19.8,9.2,19.7,10.8,77130.0,50388.0,61321.0,31096.0,4.1,35.3,16.7,23.3,8.1,16.6,85.1,10.1,4.7,0.1,11.7,14.8,160900.0,1258.0,763.0,96802,92.9,3.4,0.2,1.2,0.4,2.4
0500000US19063,"Emmet County, Iowa",3.4,6.1,33.3,24.2,12.8,14.8,5.4,7810.0,4802.0,48542.0,30386.0,3.3,31.6,18.1,15.8,13.0,21.5,78.4,10.9,10.4,0.3,12.1,14.7,86400.0,987.0,701.0,9551,95.7,1.8,0.3,0.4,0.0,9.6
0500000US19065,"Fayette County, Iowa",2.7,5.3,38.9,22.2,11.2,13.8,6.1,16235.0,9937.0,50015.0,28069.0,3.4,31.4,18.1,17.9,12.3,20.4,78.5,11.0,10.0,0.4,12.4,15.3,94800.0,979.0,615.0,19929,95.4,2.0,0.0,0.7,0.0,2.3
0500000US19067,"Floyd County, Iowa",4.4,6.3,34.0,20.7,14.7,15.5,4.4,12658.0,7920.0,48110.0,27897.0,2.5,32.1,15.3,23.3,10.8,18.4,80.5,11.1,8.4,0.0,15.7,28.9,104700.0,984.0,555.0,15858,94.4,1.7,0.6,1.4,0.2,2.9
0500000US19069,"Franklin County, Iowa",3.1,6.3,36.0,23.3,13.6,13.3,4.4,8059.0,4845.0,53742.0,27480.0,3.9,32.9,15.4,18.5,14.4,18.9,70.6,17.4,11.8,0.2,12.8,19.0,88500.0,998.0,649.0,10245,92.1,1.4,0.1,0.0,0.0,12.4
0500000US19071,"Fremont County, Iowa",2.5,5.0,35.9,23.8,13.6,13.2,6.1,5623.0,3373.0,54281.0,29625.0,3.7,33.9,16.0,18.2,11.9,20.1,72.8,17.9,9.2,0.0,9.5,11.8,102700.0,983.0,636.0,6968,95.5,0.5,0.7,0.0,0.0,2.6
