GEO_ID,NAME,DP02_0059PE,DP02_0060PE,DP02_0061PE,DP02_0062PE,DP02_0063PE,DP02_0064PE,DP02_0065PE,DP03_0001E,DP03_0004E,DP03_0062E,DP03_0088E,DP03_0009PE,DP03_0027PE,DP03_0028PE,DP03_0029PE,DP03_0030PE,DP03_0031PE,DP03_0047PE,DP03_0048PE,DP03_0049PE,DP03_0050PE,DP03_0128PE,DP03_0129PE,DP04_0089E,DP04_0101E,DP04_0134E,DP05_0001E,DP05_0037PE,DP05_0038PE,DP05_0039PE,DP05_0044PE,DP05_0052PE,DP05_0071PE
Geography,Geographic Area Name,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,Estimate!!INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Estimate!!INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Per capita income (dollars),Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,Percent!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people,Percent!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!Under 18 years,Estimate!!VALUE!!Owner-occupied units!!Median (dollars),Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Median (dollars),Estimate!!GROSS RENT!!Occupied units paying rent!!Median (dollars),Estimate!!SEX AND AGE!!Total population,Percent!!RACE!!Total population!!One race!!White,Percent!!RACE!!Total population!!One race!!Black or African American,Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native,Percent!!RACE!!Total population!!One race!!Asian,Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)
0500000US19021,"Buena Vista County, Iowa",12467,12.5,9.6,30.1,17.2,9.8,14.4,15482,10159,54014,26230,5.9,26.3,14.2,16.0,8.9,34.7,81.6,11.2,7.1,0.2,10.9,15.6,120300,1086,706,19950,73.8,2.3,0.1,10.5,1.7,26.0
0500000US19023,"Butler County, Iowa",10282,1.9,4.5,37.0,23.6,14.8,14.0,11535,6989,56473,30186,3.8,31.0,14.7,20.7,12.2,21.5,77.1,11.2,11.3,0.4,11.1,14.4,120100,1044,628,14508,97.2,0.8,0.2,0.6,0.1,1.4
0500000US19025,"Calhoun County, Iowa",6939,1.4,4.7,38.0,22.4,13.8,13.0,7769,4318,55285,29557,2.4,36.9,16.3,18.6,12.9,15.3,69.6,15.3,14.2,0.9,11.6,12.9,85600,931,591,9656,95.2,1.6,0.2,0.4,0.0,2.0
0500000US19027,"Carroll County, Iowa",13776,3.8,2.9,33.1,23.4,13.4,18.1,15955,10672,59198,32274,1.9,31.8,16.4,22.5,10.5,18.8,75.4,12.7,11.8,0.2,7.4,6.3,138700,1098,610,20150,94.6,0.5,0.4,0.7,0.0,2.6
0500000US19029,"Cass County, Iowa",9314,2.9,8.2,32.3,24.0,9.5,16.2,10539,6389,52005,30479,1.9,31.7,14.9,22.6,11.6,19.2,75.3,16.4,8.0,0.3,11.2,11.2,107200,1027,633,12990,96.8,0.6,0.3,0.3,0.1,2.9
0500000US19031,"Cedar County, Iowa",13072,1.8,2.8,39.4,22.2,12.7,15.6,14965,9762,69259,32122,2.8,31.3,16.3,20.1,14.8,17.5,75.1,15.5,9.4,0.0,7.4,8.8,163100,1232,700,18475,97.3,0.8,0.2,0.6,0.0,2.2
0500000US19033,"Cerro Gordo County, Iowa",30537,2.2,4.7,33.6,20.9,15.5,15.6,34819,22045,56082,33567,3.3,31.8,18.4,19.1,8.2,22.4,83.0,10.2,6.6,0.2,9.5,12.0,130400,1114,711,42672,93.5,2.1,0.4,1.1,0.2,5.0
0500000US19035,"Cherokee County, Iowa",8192,3.0,4.6,36.2,22.4,11.1,15.1,9128,5884,56302,33882,2.4,31.7,12.5,21.6,14.2,19.9,69.3,19.3,11.1,0.3,11.8,16.4,117400,1097,536,11281,92.9,3.0,0.0,1.1,0.0,0.8
0500000US19037,"Chickasaw County, Iowa",8214,3.2,3.2,44.7,16.6,14.6,12.5,9506,6395,61239,31027,2.2,30.2,14.7,17.2,11.6,26.3,77.7,13.8,8.3,0.2,7.8,6.9,122000,1055,638,11970,97.7,0.5,0.1,0.1,0.0,2.8
0500000US19039,"Clarke County, Iowa",6410,6.1,8.5,40.3,20.0,9.3,11.6,7317,4467,55078,28723,2.1,31.7,13.0,15.2,14.8,25.4,81.3,11.6,5.9,1.3,17.4,28.8,115400,1157,601,9383,96.4,0.1,0.4,0.1,0.0,15.2
0500000US19041,"Clay County, Iowa",11227,0.9,4.5,32.8,25.5,12.5,16.9,12898,8037,51259,29707,4.6,36.9,12.0,22.9,10.2,18.0,80.8,11.5,7.3,0.4,10.4,14.4,129700,1146,693,16138,95.6,0.1,0.1,0.7,0.0,3.9
0500000US19043,"Clayton County, Iowa",12680,3.4,6.4,44.6,18.0,10.5,12.8,14229,9118,56456,29586,2.2,26.8,17.9,17.4,14.7,23.2,76.7,10.6,11.9,0.8,12.3,14.7,131600,1139,656,17527,97.3,0.8,0.2,0.4,0.0,2.0
0500000US19045,"Clinton County, Iowa",32711,2.8,6.8,37.2,22.4,11.5,13.9,37465,21615,52221,28761,4.4,29.9,15.0,21.4,11.5,22.2,84.2,9.3,6.3,0.2,13.7,17.3,120200,1143,659,46734,93.3,2.9,0.3,0.7,0.0,3.2
0500000US19047,"Crawford County, Iowa",10952,8.4,9.8,38.9,19.3,8.5,10.9,13387,7971,54849,30228,5.2,23.8,16.4,13.5,11.9,34.5,78.2,9.9,11.9,0.0,18.7,24.3,101100,1013,643,16998,81.5,3.1,0.6,2.3,0.1,28.5
0500000US19049,"Dallas County, Iowa",59174,2.1,2.4,18.4,16.3,10.4,34.4,67803,48784,88368,45319,3.2,54.5,11.5,18.7,6.3,9.0,82.5,12.4,4.9,0.1,5.2,4.7,258300,1777,1064,90418,88.8,1.9,0.1,4.6,0.1,6.2
0500000US19051,"Davis County, Iowa",5619,14.5,3.4,31.1,18.4,13.9,14.1,6622,4147,67627,28818,3.0,38.7,13.0,17.9,13.2,17.3,68.1,13.8,17.5,0.5,10.4,15.2,117900,1258,722,8977,97.5,0.0,0.4,0.6,0.0,1.5
0500000US19053,"Decatur County, Iowa",4835,3.7,6.5,37.8,17.8,7.7,14.5,6347,3625,48154,23469,4.0,35.7,17.7,20.3,14.0,12.3,72.9,16.2,10.3,0.6,15.8,17.2,82800,1090,568,7908,94.2,1.2,0.0,0.9,0.2,3.2
0500000US19055,"Delaware County, Iowa",11781,2.4,6.7,43.0,18.2,12.3,12.1,13434,9387,63877,34681,1.7,32.4,14.1,18.7,12.9,22.0,74.5,10.5,14.1,0.8,8.7,11.4,141300,1172,621,17107,96.8,0.2,0.1,0.5,0.0,1.6
